Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-19.0,118.7,92.6,98.4,102.7,1
-17.5,118.7,92.6,104.8,103.7,1
-20.0,118.7,92.6,99.6,102.3,1
-11.0,118.7,92.6,104.1,103.2,1
-3.0,118.7,92.6,107.6,93.6,0
-15.5,118.7,92.6,108.9,102.5,1
-10.5,118.7,92.6,97.6,97.6,1
-26.5,118.7,92.6,103.0,111.1,1
-24.5,118.7,92.6,98.4,102.7,1
-3.0,111.3,88.7,108.3,97.8,1
-19.0,111.3,88.7,100.0,101.8,1
-30.5,111.3,88.7,86.6,102.6,1
-6.0,111.3,88.7,109.6,98.5,1
-15.0,111.3,88.7,99.4,99.8,1
-13.5,111.3,88.7,100.4,105.8,1
-8.0,111.3,88.7,107.2,104.4,1
-10.0,111.3,88.7,108.3,97.8,1
-21.5,111.3,88.7,86.6,102.6,1
-2.0,115.8,93.6,116.3,95.3,0
-18.5,115.8,93.6,105.9,102.6,1
-24.0,115.8,93.6,105.3,114.3,1
-12.5,115.8,93.6,98.9,106.5,1
-5.5,118.7,92.6,111.4,95.9,0
-2.5,118.7,92.6,117.2,91.7,0
-10.5,118.7,92.6,109.7,109.9,1
-22.0,118.7,92.6,104.3,102.9,1
-10.5,118.7,92.6,104.6,110.1,1
-5.0,111.3,88.7,116.1,95.9,0
-9.5,111.3,88.7,105.5,97.4,0
-2.0,111.3,88.7,113.9,99.7,0
-4.5,111.3,88.7,111.2,99.7,0
-13.0,115.8,93.6,102.6,94.9,1
-9.5,115.8,93.6,105.5,98.0,1
-12.0,115.8,93.6,107.4,100.8,1
-4.5,117.8,92.4,114.5,100.7,1
-8.0,117.8,92.4,106.1,107.3,1
-5.5,117.8,92.4,106.1,97.2,1
-24.5,117.8,92.4,101.9,113.6,1
-17.0,117.8,92.4,112.6,112.4,1
-15.5,117.8,92.4,101.1,102.1,1
-10.5,118.7,92.6,99.6,102.3,1
-22.0,118.7,92.6,110.2,111.4,1
-7.5,118.7,92.6,126.0,103.5,0
-4.5,118.7,92.6,107.4,95.9,1
-26.0,118.7,92.6,95.4,105.0,1
-11.0,118.7,92.6,108.5,100.9,1
-18.5,111.3,88.7,104.1,112.7,1
-16.5,111.3,88.7,102.4,98.5,1
-4.5,111.3,88.7,111.1,92.9,0
-4.0,111.3,88.7,115.6,98.8,1
-7.0,111.3,88.7,103.4,98.3,1
-6.5,111.3,88.7,96.9,102.4,1
-16.5,115.8,93.6,105.3,114.3,1
-6.0,115.8,93.6,108.4,98.2,0
-13.0,115.8,93.6,105.1,101.4,1
-19.0,115.8,93.6,103.0,111.6,1
-13.0,115.8,93.6,111.6,99.3,1
-13.0,115.8,93.6,103.3,104.6,1
-12.5,115.8,93.6,109.3,101.3,1
-19.0,115.8,93.6,95.9,105.8,1
-3.0,115.8,93.6,116.4,89.2,0
-15.0,117.8,92.4,113.3,109.1,1
-15.0,118.7,92.6,108.3,106.0,1
-21.0,118.7,92.6,104.1,103.2,1
-15.0,118.7,92.6,97.6,97.6,1
-13.0,118.7,92.6,104.8,103.7,1
-9.0,118.7,92.6,108.9,102.5,1
-18.5,118.7,92.6,108.3,106.0,1
-9.5,118.7,92.6,107.6,93.6,1
-16.5,118.7,92.6,103.0,111.1,1
-16.0,111.3,88.7,104.0,99.4,1
-14.0,111.3,88.7,100.0,101.8,1
-12.0,111.3,88.7,99.4,99.8,1
-22.0,111.3,88.7,100.4,105.8,1
-16.0,111.3,88.7,103.3,97.2,1
-14.5,111.3,88.7,109.6,98.5,0
-17.5,111.3,88.7,104.1,112.7,1
-12.5,111.3,88.7,104.0,99.4,0
-17.5,111.3,88.7,107.2,104.4,1
-6.5,115.8,93.6,116.3,95.3,1
-9.5,115.8,93.6,102.7,103.4,1
-15.0,115.8,93.6,106.6,101.3,1
-11.5,115.8,93.6,98.8,103.6,1
-5.0,115.8,93.6,107.7,96.1,1
-17.0,115.8,93.6,102.7,103.4,1
-3.0,118.7,92.6,119.1,91.4,0
-6.5,118.7,92.6,111.9,96.3,1
-6.5,118.7,92.6,107.6,93.6,1
-17.5,118.7,92.6,108.3,106.0,1
-21.5,118.7,92.6,98.4,102.7,1
-2.0,111.3,88.7,109.2,96.0,0
-4.0,111.3,88.7,113.6,94.9,1
-9.0,111.3,88.7,109.6,98.5,0
-18.5,111.3,88.7,100.0,101.8,1
-2.0,115.8,93.6,125.4,100.4,0
-6.5,115.8,93.6,119.8,106.0,1
-8.5,115.8,93.6,107.7,96.1,0
-18.0,115.8,93.6,98.8,103.6,1
-4.5,117.8,92.4,118.3,95.8,0
-17.0,117.8,92.4,103.6,104.4,1
-12.5,117.8,92.4,106.8,101.2,1
-15.0,117.8,92.4,106.5,105.5,1
-17.5,117.8,92.4,103.1,107.3,1
-16.0,117.8,92.4,106.5,105.5,1
-5.0,111.8,91.5,115.1,89.7,1
-4.5,111.8,91.5,111.8,98.0,1
-6.5,111.8,91.5,120.5,92.7,1
-4.5,111.8,91.5,115.6,91.5,1
-1.5,111.8,91.5,118.3,96.5,0
-9.5,111.8,91.5,117.7,84.8,0
