Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-6.5,91.6,100.4,99.5,103.4,0
-7.5,91.8,105.2,93.7,102.4,0
-11.5,91.6,100.4,103.5,104.5,0
-4.5,103.1,104.5,NaN,NaN,1
-3.5,103.1,104.5,105.6,105.5,0
-21.0,103.1,104.5,119.1,95.3,0
-31.5,91.6,100.4,112.2,88.0,0
-18.0,91.8,105.2,107.9,97.3,0
-25.5,105.8,106.5,115.9,95.0,0
-2.5,91.8,105.2,109.2,96.0,0
-5.0,91.6,100.4,99.5,103.4,0
-4.0,91.6,100.4,100.2,107.7,1
-10.0,91.8,105.2,100.7,103.1,0
-22.5,103.1,104.5,124.5,92.0,0
-4.0,103.1,104.5,108.4,106.2,1
-5.5,103.1,104.5,106.0,102.4,1
-7.0,103.1,104.5,104.1,109.9,1
-9.0,103.1,104.5,98.9,111.4,1
-9.5,105.8,106.5,113.9,106.8,0
-13.5,105.8,106.5,108.5,95.4,1
-7.0,105.8,106.5,107.8,111.7,0
-10.5,105.8,106.5,110.2,105.0,1
-11.0,105.8,106.5,102.2,112.8,1
-8.0,105.1,102.9,107.9,97.2,0
+4.0,105.1,102.9,111.4,98.1,1
-8.5,105.1,102.9,102.5,106.3,0
-10.0,105.1,102.9,98.8,99.9,1
-5.0,105.9,100.9,100.6,95.0,0
-2.5,105.9,100.9,103.4,106.8,1
-4.0,105.9,100.9,102.0,98.9,1
-1.0,105.9,100.9,108.7,107.9,0
-5.5,105.9,100.9,104.8,97.6,1
-12.0,105.9,100.9,97.0,108.3,1
-4.5,103.2,101.4,109.6,104.2,0
-6.5,103.2,101.4,104.4,104.4,1
-9.0,103.2,101.4,100.4,105.9,1
-17.0,99.9,100.8,117.2,96.0,0
