Spread,Oeff1,Deff1,Oeff2,Deff2,Result
+2.0,100.3,99.7,110.8,102.7,0
-7.5,100.3,99.7,95.0,109.2,1
-4.0,100.3,99.7,105.8,105.2,0
-10.0,100.3,99.7,98.9,107.0,0
-1.0,100.3,99.7,106.7,109.8,0
-4.0,100.3,99.7,98.4,107.9,1
-7.0,100.3,99.7,NaN,NaN,1
-11.5,100.3,99.7,NaN,NaN,1
-13.5,100.3,99.7,102.6,110.1,0
-5.0,101.5,101.6,98.3,110.9,1
-4.0,101.5,101.6,108.5,111.6,0
-11.5,101.5,101.6,114.0,110.5,0
+1.5,101.5,101.6,106.3,106.4,1
-3.0,101.5,101.6,104.5,109.6,1
-7.5,101.5,101.6,95.2,109.6,1
-1.0,101.5,101.6,100.5,109.8,1
-5.5,101.5,101.6,NaN,NaN,1
+4.0,89.5,108.4,95.2,108.4,1
+7.5,89.5,108.4,104.2,111.1,1
+13.0,89.5,108.4,110.2,107.9,0
-23.0,89.5,108.4,116.5,104.5,0
-10.5,89.5,108.4,94.8,109.0,0
-7.0,100.3,99.7,112.4,95.9,0
-8.0,100.3,99.7,112.2,97.2,1
-2.0,100.3,99.7,105.5,102.7,1
-10.0,100.3,99.7,95.1,110.4,1
-4.0,100.3,99.7,97.8,102.2,1
+3.0,101.5,101.6,104.6,99.9,0
-6.0,101.5,101.6,110.6,108.1,0
-13.0,89.5,108.4,100.0,101.7,0
-33.5,89.5,108.4,115.6,85.5,0
-19.0,89.5,108.4,115.6,100.6,0
+8.5,89.5,108.4,98.8,103.6,0
-13.0,101.9,113.6,109.8,105.4,0
-21.0,101.9,113.6,117.9,94.2,0
-24.5,101.9,113.6,117.8,92.4,0
-1.5,100.3,99.7,107.2,109.8,0
-28.0,100.3,99.7,121.0,96.8,0
-9.0,100.3,99.7,112.6,107.6,0
-12.0,101.5,101.6,111.0,103.7,0
-9.5,101.5,101.6,104.0,99.4,0
-23.0,89.5,108.4,108.8,96.6,0
-22.5,89.5,108.4,109.5,102.3,0
-14.5,89.5,108.4,102.3,101.7,0
-16.0,89.5,108.4,98.8,103.6,0
-3.0,101.9,113.6,98.7,112.0,0
-2.0,101.9,113.6,98.9,103.5,0
-9.5,100.3,99.7,110.8,102.7,0
-7.5,100.3,99.7,98.4,107.9,1
-2.5,100.3,99.7,105.8,105.2,0
-2.0,100.3,99.7,98.9,107.0,1
-3.0,100.3,99.7,106.2,117.3,1
-6.5,100.3,99.7,100.1,105.0,0
-1.0,101.5,101.6,114.0,110.5,1
-1.5,101.5,101.6,NaN,NaN,0
-11.0,101.5,101.6,98.3,110.9,1
-4.5,101.5,101.6,106.6,102.8,0
-2.0,101.5,101.6,107.4,111.0,1
-2.5,101.5,101.6,108.5,111.6,1
-5.5,101.5,101.6,107.4,111.0,0
-16.0,89.5,108.4,110.2,107.9,0
+7.5,89.5,108.4,NaN,NaN,0
+8.5,89.5,108.4,104.1,103.1,0
-7.0,89.5,108.4,95.2,108.4,0
+12.5,89.5,108.4,106.3,102.8,0
-11.0,89.5,108.4,104.2,111.1,0
-5.0,100.3,99.7,NaN,NaN,0
-4.0,101.5,101.6,103.5,102.6,0
-7.5,101.5,101.6,104.5,109.6,0
-12.5,101.9,113.6,112.4,108.4,0
-8.5,104.9,104.7,106.4,98.3,0
-12.0,104.9,104.7,111.6,96.6,0
-3.5,104.9,104.7,99.6,104.6,1
+1.0,104.9,104.7,110.7,105.3,1
-4.5,101.1,101.0,105.1,97.4,0
-6.5,101.1,101.0,108.5,93.2,0
-4.5,101.1,101.0,100.5,103.2,1
-7.0,102.1,108.8,NaN,NaN,0
-20.5,97.8,107.2,109.0,94.0,0
-11.5,101.6,111.4,103.1,100.3,0
-3.0,104.1,110.8,104.6,104.9,0
-2.5,104.1,110.8,104.3,108.3,1
-2.0,104.1,110.8,95.3,107.9,1
-4.0,104.1,110.8,97.6,109.1,1
-6.5,105.3,108.2,102.8,100.8,0
-17.5,103.6,113.9,100.1,94.6,0
+8.5,91.0,118.8,NaN,NaN,0
+9.5,NaN,NaN,NaN,NaN,0
+2.5,NaN,NaN,NaN,NaN,0
