Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1103,1296,-3.5,112.6,106.4,98.9,102.4,1
1103,1138,-7.5,112.6,106.4,105.3,102.2,1
1103,1444,-4.5,112.6,106.4,107.1,106.8,1
1103,1185,-4.5,112.6,106.4,106.1,104.9,1
1103,1325,-6.0,112.6,106.4,105.6,99.9,1
1103,1275,-7.5,112.6,106.4,95.9,106.0,1
1103,1141,-3.5,112.6,106.4,111.6,117.6,1
1103,1444,-11.5,112.6,106.4,107.1,106.8,1
1103,1132,-10.0,112.6,106.4,100.1,107.2,1
1103,1123,-1.5,110.1,101.5,103.5,102.6,1
1103,1296,-5.5,110.1,101.5,101.6,101.7,1
1103,1275,-10.0,110.1,101.5,97.4,104.7,1
1103,1185,-5.0,110.1,101.5,106.7,105.4,1
1103,1405,+3.5,110.1,101.5,108.6,104.5,0
1103,1141,+1.0,110.1,101.5,110.5,110.0,0
1103,1444,-9.5,110.1,101.5,103.7,105.4,1
1103,1138,-2.5,110.1,101.5,105.9,102.9,1
1103,1132,+4.0,105.1,99.4,105.9,100.7,1
1103,1123,-10.5,105.1,99.4,100.4,108.0,1
1103,1444,+4.5,105.1,99.4,108.0,107.1,1
1103,1273,-4.5,112.6,106.4,109.6,108.2,1
1103,1102,-7.0,112.6,106.4,104.3,109.5,1
1103,1204,-8.5,112.6,106.4,105.2,107.3,1
1103,1464,-8.0,112.6,106.4,102.6,112.9,0
1103,1453,-5.0,110.1,101.5,108.3,104.6,0
1103,1437,+16.0,110.1,101.5,122.8,90.8,0
1103,1116,+6.0,110.1,101.5,110.7,100.3,1
1103,1156,-9.5,110.1,101.5,91.6,103.5,1
1103,1336,+6.5,105.1,99.4,105.3,97.2,0
1103,1376,+6.0,105.1,99.4,105.6,94.3,1
1103,,+9.5,105.1,99.4,106.0,102.4,0
1103,1425,+3.5,105.1,99.4,101.6,100.1,1
1103,1292,+5.5,105.0,102.9,105.3,97.0,0
1103,,+9.0,105.0,102.9,110.2,105.0,0
1103,1336,-4.0,106.8,95.2,102.1,101.5,1
1103,1421,-8.5,106.8,95.2,101.5,104.7,1
1103,1329,+5.0,106.8,95.2,109.0,90.3,0
1103,1271,-17.0,112.6,106.4,NaN,NaN,1
1103,1414,-5.0,112.6,106.4,101.8,100.0,1
1103,1267,-7.0,112.6,106.4,110.8,109.7,1
1103,1211,+17.0,112.6,106.4,118.4,86.3,0
1103,1166,+12.0,112.6,106.4,115.3,96.5,0
1103,1233,-8.5,110.1,101.5,110.5,103.4,1
1103,1364,-4.5,110.1,101.5,106.3,99.5,1
1103,1267,-7.5,110.1,101.5,111.0,109.1,1
1103,1267,-12.0,105.1,99.4,96.3,104.3,1
1103,1295,-1.5,105.1,99.4,103.8,102.4,0
1103,1292,-8.0,105.1,99.4,102.3,101.7,0
1103,1442,-11.5,105.1,99.4,91.5,108.1,1
1103,1376,+1.5,105.0,102.9,107.5,102.2,0
1103,1376,-5.0,105.0,102.9,107.5,102.2,0
1103,1235,+6.5,105.0,102.9,118.9,97.8,0
1103,1275,-14.5,112.6,106.4,95.9,106.0,0
1103,1138,+2.0,112.6,106.4,105.3,102.2,1
1103,1132,-6.0,112.6,106.4,100.1,107.2,0
1103,1245,-8.5,112.6,106.4,104.9,103.3,0
1103,1405,-6.5,112.6,106.4,108.8,106.1,1
1103,1185,-1.5,112.6,106.4,106.1,104.9,1
1103,1123,-9.0,112.6,106.4,104.7,105.3,1
1103,1325,-1.5,112.6,106.4,105.6,99.9,0
1103,1132,-8.5,110.1,101.5,100.9,106.7,1
1103,1275,-6.0,110.1,101.5,97.4,104.7,0
1103,1245,-2.5,110.1,101.5,106.4,107.8,0
1103,1138,-7.0,110.1,101.5,105.9,102.9,1
1103,1296,-2.0,110.1,101.5,101.6,101.7,0
1103,1132,-4.0,110.1,101.5,100.9,106.7,1
1103,1141,-5.0,110.1,101.5,110.5,110.0,1
1103,1325,+2.5,110.1,101.5,110.6,108.1,1
1103,1325,-10.5,105.1,99.4,103.0,108.5,1
1103,1138,+6.5,105.1,99.4,111.3,99.4,0
1103,1275,-10.5,105.1,99.4,102.5,106.6,0
1103,1405,-2.0,105.1,99.4,113.3,105.8,0
1103,1185,-1.0,105.1,99.4,101.8,99.2,0
1103,1245,-7.0,105.1,99.4,107.4,102.3,1
1103,1426,+5.0,112.6,106.4,110.6,100.8,0
1103,1222,+7.5,112.6,106.4,113.5,99.9,1
1103,1245,-3.5,112.6,106.4,104.9,103.3,0
1103,1123,-5.5,112.6,106.4,104.7,105.3,1
1103,1185,-4.5,112.6,106.4,106.1,104.9,1
1103,1245,-1.0,112.6,106.4,104.9,103.3,1
1103,1326,+4.5,110.1,101.5,107.0,97.0,0
1103,1138,-5.0,110.1,101.5,105.9,102.9,0
1103,1132,-8.5,110.1,101.5,100.9,106.7,1
1103,1185,-5.0,110.1,101.5,106.7,105.4,1
1103,1245,-8.0,110.1,101.5,106.4,107.8,1
1103,1325,-6.0,110.1,101.5,110.6,108.1,1
1103,1138,+4.5,105.1,99.4,111.3,99.4,0
1103,1245,-2.0,105.1,99.4,107.4,102.3,1
1103,1444,-2.0,105.1,99.4,108.0,107.1,1
1103,1296,-6.0,105.1,99.4,102.8,104.0,1
1103,1245,+3.5,105.1,99.4,107.4,102.3,0
1103,1275,-3.5,105.1,99.4,102.5,106.6,0
1103,NaN,+3.0,105.0,102.9,NaN,NaN,0
1103,1444,-2.5,105.0,102.9,106.3,103.0,0
1103,1325,-1.5,105.0,102.9,106.5,102.7,1
1103,1245,-7.5,105.0,102.9,104.1,106.2,1
1103,1138,-2.0,105.0,102.9,109.7,103.4,1
1103,1132,-7.5,105.0,102.9,93.0,96.9,1
1103,1433,+7.5,106.8,95.2,114.0,93.7,0
1103,1325,+1.5,106.8,95.2,106.6,97.5,1
1103,1245,-6.0,106.8,95.2,107.8,103.4,1
