Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2018,HOUBPT,82,SFA,102,L,0.0,,0.0,
Jan 27 2018,HOUBPT,69,TEXCC,79,L,0.0,,0.0,
Jan 24 2018,INCAR,86,HOUBPT,102,W,0.0,,0.0,
Jan 20 2018,MCNEE,86,HOUBPT,81,L,0.0,,0.0,
Jan 17 2018,HOUBPT,69,SELA,85,L,0.0,,0.0,
Jan 13 2018,HOUBPT,68,SAMHO,81,L,0.0,,0.0,
Jan 10 2018,ABILE,82,HOUBPT,74,L,0.0,,0.0,
Jan 6 2018,NICHL,72,HOUBPT,71,L,0.0,,0.0,
Nov 28 2017,DALCHR,66,HOUBPT,96,W,0.0,,0.0,
Nov 26 2017,HOUBPT,74,OKST,101,L,0.0,,0.0,
Nov 21 2017,HOUBPT,73,VATEC,99,L,0.0,,0.0,
Nov 19 2017,DETRT,116,HOUBPT,109,L,0.0,L,170.0,O
Nov 18 2017,HOUBPT,88,BELMT,93,L,-16.5,W,155.0,O
Nov 14 2017,ARBAPT,67,HOUBPT,108,W,0.0,,0.0,
Nov 10 2017,HOUBPT,55,PROV,84,L,0.0,,0.0,
Dec 30 2017,NEWOR,64,HOUBPT,57,L,0.0,,0.0,
Dec 28 2017,HOUBPT,68,LAMAR,86,L,0.0,,0.0,
Dec 20 2017,HOUBPT,48,VANDY,81,L,0.0,,0.0,
Dec 18 2017,HOUBPT,62,MICHS,107,L,-31.5,L,152.5,O
Dec 15 2017,BRCLAY,65,HOUBPT,100,W,0.0,,0.0,
Dec 9 2017,HOUBPT,71,TEXSA,87,L,0.0,,0.0,
Dec 6 2017,HOUBPT,74,STPET,76,L,0.0,,0.0,
Dec 2 2017,TEXST,52,HOUBPT,71,W,0.0,,0.0,
Feb 28 2018,HOUBPT,71,INCAR,83,L,0.0,,0.0,
Feb 24 2018,HOUBPT,79,MCNEE,88,L,0.0,,0.0,
Feb 21 2018,LAMAR,87,HOUBPT,73,L,0.0,,0.0,
Feb 17 2018,SAMHO,86,HOUBPT,78,L,0.0,,0.0,
Feb 14 2018,HOUBPT,77,NWST,70,W,0.0,,0.0,
Feb 10 2018,HOUBPT,67,NICHL,94,L,0.0,,0.0,
Feb 7 2018,C.ARK,100,HOUBPT,80,L,0.0,,0.0,
Mar 3 2018,TEXCC,92,HOUBPT,87,L,0.0,,0.0,
