Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,SACRD,71,STFPA,72,L,0.0,,0.0,
2018,SACRD,56,ROBMO,64,L,0.0,,0.0,
2018,STFPA,73,SACRD,60,L,0.0,,0.0,
2018,ROBMO,74,SACRD,60,L,+2.5,L,143.5,U
2018,SACRD,92,STFNY,52,W,0.0,,0.0,
2018,SACRD,75,MTSTM,81,L,0.0,,0.0,
2018,BRYANT,79,SACRD,74,L,0.0,,0.0,
2018,SACRD,63,WAGNR,69,L,0.0,,0.0,
2018,SACRD,87,LOWELL,80,W,0.0,,0.0,
2018,SACRD,50,NWEST,81,L,0.0,,0.0,
2018,MITCH,60,SACRD,84,W,0.0,,0.0,
2018,MAINE,68,SACRD,69,W,-7.5,L,144.0,U
2018,SACRD,61,STPET,70,L,-6.0,L,133.0,U
2018,SACRD,53,BC,73,L,0.0,,0.0,
2018,HOLYC,69,SACRD,64,L,0.0,,0.0,
2018,FDU,65,SACRD,66,W,0.0,,0.0,
2018,STFNY,73,SACRD,68,L,0.0,,0.0,
2018,SACRD,75,PROV,89,L,-17.0,W,136.0,O
2018,BINGH,51,SACRD,48,L,0.0,,0.0,
2018,SACRD,72,HARTF,86,L,0.0,,0.0,
2018,LAFAY,50,SACRD,62,W,0.0,,0.0,
2018,DART,73,SACRD,79,W,0.0,,0.0,
2018,SACRD,55,STJON,90,L,-19.5,L,0.0,
2018,SACRD,77,LIU,88,L,0.0,,0.0,
2018,SACRD,94,BRYANT,84,W,0.0,,0.0,
2018,MTSTM,74,SACRD,69,L,0.0,,0.0,
2018,WAGNR,99,SACRD,84,L,0.0,,0.0,
2018,SACRD,67,CCONN,50,W,0.0,,0.0,
2018,SACRD,67,FDU,77,L,0.0,,0.0,
2018,CCONN,54,SACRD,67,W,0.0,,0.0,
2018,LIU,69,SACRD,60,L,-2.0,L,147.0,U
