Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,OAKLN,51,WRIGH,64,L,-1.0,L,148.5,U
2018,OAKLN,83,N.KENT,70,W,-6.5,W,157.0,U
2018,OAKLN,92,DETRT,86,W,+9.0,L,171.5,O
2018,OAKLN,78,ILCHI,68,W,+4.5,W,156.0,U
2018,CLEST,68,OAKLN,81,W,-15.5,L,157.0,U
2018,YOUNG,82,OAKLN,95,W,-15.5,L,164.0,O
2018,WRIGH,86,OAKLN,81,L,-7.5,L,151.5,O
2018,N.KENT,87,OAKLN,83,L,-2.5,L,161.0,O
2018,TEXSO,87,OAKLN,97,W,0.0,,0.0,
2018,OAKLN,93,ORALR,86,W,+9.0,L,148.0,O
2018,OAKLN,59,KANSA,102,L,-21.0,L,162.0,U
2018,OAKLN,50,SYRA,74,L,-9.0,L,148.5,U
2018,OAKLN,74,TOLDO,87,L,-1.0,L,159.0,O
2018,NEWOR,68,OAKLN,87,W,0.0,,0.0,
2018,IPFW,71,OAKLN,85,W,-7.5,W,167.0,U
2018,OAKLN,79,WISGB,80,L,+10.0,L,168.5,U
2018,OAKLN,76,WISML,68,W,+1.5,W,148.5,U
2018,EMICH,81,OAKLN,86,W,-7.0,L,160.5,O
2018,TOWSN,86,OAKLN,97,W,-4.5,W,151.5,O
2018,MICHS,86,OAKLN,73,L,+19.0,W,149.0,O
2018,CHIST,50,OAKLN,82,W,0.0,,0.0,
2018,OAKLN,89,EMICH,95,L,+2.0,L,148.5,O
2018,OAKLN,78,WMICH,73,W,-4.0,W,153.5,U
2018,WISML,70,OAKLN,72,W,-5.0,L,145.5,U
2018,WISGB,96,OAKLN,90,L,-11.5,L,156.0,O
2018,OAKLN,67,IUPUI,74,L,+5.5,L,146.5,U
2018,OAKLN,82,CLEST,66,W,+5.0,W,151.0,U
2018,OAKLN,73,YOUNG,75,L,+5.0,L,163.0,U
2018,DETRT,78,OAKLN,87,W,-13.5,L,166.0,U
2018,IUPUI,74,OAKLN,82,W,-14.0,L,149.5,O
2018,ILCHI,79,OAKLN,73,L,-8.0,L,157.0,U
2018,CLEST,44,OAKLN,43,L,-9.0,L,145.0,U
2018,IUPUI,55,OAKLN,62,W,-7.5,L,144.0,U
