Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 30 2017,N.FLA,59,FLAGC,74,L,0.0,,0.0,
Jan 28 2017,N.FLA,74,STETS,88,L,0.0,,0.0,
Jan 25 2017,FLAGC,86,N.FLA,82,L,0.0,,0.0,
Jan 21 2017,LIPSC,84,N.FLA,90,W,0.0,,0.0,
Jan 19 2017,KENNE,84,N.FLA,86,W,0.0,,0.0,
Jan 14 2017,N.FLA,78,NJIT,84,L,0.0,,0.0,
Jan 12 2017,N.FLA,73,USCUP,65,W,0.0,,153.5,U
Jan 7 2017,N.FLA,80,JAXVL,64,W,0.0,,0.0,
Jan 2 2017,PALMB,67,N.FLA,102,W,0.0,,0.0,
Jan 30 2016,FLAGC,76,N.FLA,82,W,0.0,,0.0,
Jan 24 2016,N.FLA,94,NJIT,80,W,0.0,,0.0,
Jan 21 2016,N.FLA,78,USCUP,62,W,0.0,,0.0,
Jan 16 2016,KENNE,78,N.FLA,93,W,0.0,,0.0,
Jan 14 2016,LIPSC,83,N.FLA,95,W,0.0,,0.0,
Jan 9 2016,JAXVL,68,N.FLA,83,W,0.0,,0.0,
Jan 6 2016,N.FLA,97,STETS,79,W,0.0,,0.0,
Jan 2 2016,N.FLA,82,EMICH,77,W,0.0,,0.0,
Jan 31 2015,USCUP,79,N.FLA,74,L,0.0,,0.0,
Jan 29 2015,KENNE,67,N.FLA,86,W,0.0,,0.0,
Jan 24 2015,N.FLA,75,LIPSC,66,W,0.0,,0.0,
Jan 22 2015,N.FLA,74,N.KENT,66,W,0.0,,0.0,
Nov 27 2016,N.FLA,67,WRIGH,75,L,-6.5,L,155.0,U
Nov 26 2016,N.FLA,54,CSBAK,77,L,-5.5,L,147.0,U
Nov 25 2016,NDAKOT,75,N.FLA,76,W,+2.5,W,157.0,U
Nov 22 2016,FLANAT,66,N.FLA,112,W,0.0,,0.0,
Nov 18 2016,N.FLA,70,LSU,78,L,0.0,,0.0,
Nov 16 2016,MIAMI,94,N.FLA,56,L,+14.5,L,154.5,U
