Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,JAXVL,89,STETS,86,W,0.0,,0.0,
2017,JAXVL,56,FLAGC,78,L,0.0,,0.0,
2017,STETS,92,JAXVL,103,W,0.0,,0.0,
2017,KENNE,81,JAXVL,71,L,0.0,,0.0,
2017,LIPSC,112,JAXVL,95,L,0.0,,0.0,
2017,JAXVL,66,USCUP,73,L,0.0,,0.0,
2017,JAXVL,82,NJIT,81,W,0.0,,0.0,
2017,N.FLA,80,JAXVL,64,L,0.0,,0.0,
2017,MIDGA,85,JAXVL,124,W,0.0,,0.0,
2016,STETS,60,JAXVL,75,W,0.0,,0.0,
2016,JAXVL,78,FLAGC,69,W,0.0,,0.0,
2016,JAXVL,77,USCUP,68,W,0.0,,0.0,
2016,JAXVL,63,NJIT,83,L,0.0,,0.0,
2016,LIPSC,73,JAXVL,76,W,0.0,,0.0,
2016,KENNE,70,JAXVL,83,W,0.0,,0.0,
2016,JAXVL,68,N.FLA,83,L,0.0,,0.0,
2016,TRINBP,45,JAXVL,84,W,0.0,,0.0,
2016,JAXVL,72,WMICH,76,L,0.0,,0.0,
2015,KENNE,51,JAXVL,50,L,0.0,,0.0,
2015,USCUP,78,JAXVL,65,L,0.0,,0.0,
2015,JAXVL,59,N.KENT,81,L,0.0,,0.0,
2017,JAXVL,67,WISML,72,L,0.0,,0.0,
2017,JAXVL,66,NCA&T,49,W,0.0,,0.0,
2017,TRINBP,52,JAXVL,97,W,0.0,,0.0,
2017,JAXVL,58,S.ALA,71,L,0.0,,0.0,
2017,JAXVL,78,FLAIN,75,W,0.0,,0.0,
2017,YOUNG,54,JAXVL,79,W,0.0,,0.0,
2017,JAXVL,68,AIRFO,86,L,0.0,,0.0,
2017,JAXVL,92,DENVR,84,W,0.0,,0.0,
2016,JAXVL,69,NCGRE,71,L,0.0,,0.0,
2016,JAXVL,65,NAVY,71,L,0.0,,0.0,
2016,IU-FW,71,JAXVL,63,L,0.0,,0.0,
2016,THOMAS,64,JAXVL,92,W,0.0,,0.0,
2016,FLACOL,63,JAXVL,81,W,0.0,,0.0,
2016,JAXVL,79,FLAST,98,L,0.0,,0.0,
2016,JAXVL,68,APPST,76,L,0.0,,0.0,
2015,JAXVL,65,S.FLA,79,L,0.0,,0.0,
2015,TRINBP,57,JAXVL,69,W,0.0,,0.0,
2015,JAXVL,71,IU-FW,89,L,0.0,,0.0,
2015,JAXVL,43,NCST,79,L,0.0,,0.0,
2015,JACKS,66,JAXVL,57,L,0.0,,0.0,
2015,FLANAT,61,JAXVL,72,W,0.0,,0.0,
2015,JAXVL,61,HOFST,94,L,0.0,,0.0,
2017,SC.ST,85,JAXVL,89,W,0.0,,0.0,
2017,THOMAS,64,JAXVL,93,W,0.0,,0.0,
2017,JAXVL,60,DAVID,75,L,0.0,,0.0,
2017,FLMEM,63,JAXVL,81,W,0.0,,0.0,
2017,JAXVL,75,FLA&M,72,W,0.0,,0.0,
2017,JAXVL,85,MARST,64,W,0.0,,0.0,
2017,EKENT,80,JAXVL,76,L,0.0,,0.0,
2017,JAXVL,76,BCOOK,66,W,0.0,,0.0,
2016,BCOOK,70,JAXVL,74,W,0.0,,0.0,
2016,MARST,68,JAXVL,69,W,0.0,,0.0,
2016,JAXVL,65,FLA,89,L,0.0,,0.0,
2016,FLA&M,66,JAXVL,68,W,0.0,,0.0,
2016,JAXVL,75,S.FLA,88,L,0.0,,0.0,
2016,JAXVL,74,SC.ST,81,L,0.0,,0.0,
2016,JAXVL,86,JAXST,82,W,0.0,,0.0,
2016,FLMEM,73,JAXVL,92,W,0.0,,0.0,
2015,FLAAT,68,JAXVL,50,L,0.0,,0.0,
2015,JAXST,61,JAXVL,75,W,0.0,,0.0,
2015,JAXVL,47,MISST,70,L,0.0,,0.0,
2015,TRUMC,55,JAXVL,84,W,0.0,,0.0,
2015,G.WEB,65,JAXVL,68,W,0.0,,0.0,
2015,JAXVL,34,FLA,79,L,0.0,,0.0,
2017,JAXVL,74,N.FLA,77,L,-2.5,L,154.0,U
2017,JAXVL,69,N.FLA,73,L,0.0,,0.0,
2017,JAXVL,69,LIPSC,81,L,0.0,,0.0,
2017,JAXVL,79,KENNE,78,W,0.0,,0.0,
2017,NJIT,73,JAXVL,76,W,0.0,,0.0,
