Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,S.MISS,43,UAB,87,L,-16.0,L,134.0,U
2017,S.MISS,56,MIDTN,72,L,-21.0,W,128.0,P
2017,RICE,61,S.MISS,58,L,+11.0,W,146.0,U
2017,N.TEX,65,S.MISS,75,W,-1.5,W,134.5,O
2017,S.MISS,66,CHARL,82,L,-9.0,L,147.5,O
2017,S.MISS,50,OLDDO,54,L,-13.0,W,119.0,U
2017,UTEP,65,S.MISS,73,W,-2.0,W,131.0,O
2017,TEXSA,59,S.MISS,77,W,+2.0,W,127.0,O
2017,LATEC,79,S.MISS,55,L,+13.5,L,135.0,U
2016,TEXSA,70,S.MISS,86,W,-6.0,W,140.0,O
2016,UTEP,58,S.MISS,71,W,+3.5,W,131.0,U
2016,LATEC,70,S.MISS,59,L,+7.0,L,137.0,U
2016,S.MISS,66,FLAIN,60,W,-9.0,W,130.0,U
2016,S.MISS,51,FLAAT,58,L,-4.0,L,126.0,U
2016,OLDDO,71,S.MISS,73,W,+12.0,W,117.5,O
2016,CHARL,82,S.MISS,76,L,+4.0,L,132.5,O
2016,S.MISS,57,LATEC,87,L,-17.0,L,131.5,O
2015,W.KEN,73,S.MISS,62,L,+8.0,L,131.0,O
2015,MARSH,69,S.MISS,54,L,-3.5,L,132.0,U
2015,S.MISS,75,N.TEX,71,W,-7.5,W,124.5,O
2015,S.MISS,56,RICE,58,L,-7.0,W,123.5,U
2015,UAB,63,S.MISS,56,L,+4.0,L,130.5,U
2015,MIDTN,62,S.MISS,61,L,+4.5,W,118.0,O
2017,S.ALA,78,S.MISS,55,L,+3.5,L,131.5,O
2017,ALA&M,55,S.MISS,63,W,0.0,,0.0,
2017,UNION,44,S.MISS,60,W,0.0,,0.0,
2017,S.MISS,61,LSU,78,L,-19.0,W,152.0,U
2017,TOUGA,96,S.MISS,101,W,0.0,,0.0,
2016,S.MISS,46,MORHD,61,L,-19.0,W,133.0,U
2016,WMCAR,84,S.MISS,78,L,0.0,,0.0,
2016,JACKS,78,S.MISS,60,L,0.0,,0.0,
2016,S.MISS,49,MEMPH,67,L,-19.0,W,141.0,U
2015,S.MISS,36,DREXL,59,L,-4.0,L,0.0,
2015,TROY,70,S.MISS,72,W,-11.0,L,0.0,
2015,S.MISS,67,ALA,81,L,-13.5,L,137.5,O
2015,S.ALA,59,S.MISS,68,W,-11.0,L,0.0,
2015,WMCAR,63,S.MISS,86,W,0.0,,0.0,
2014,S.MISS,38,LOUIS,69,L,-15.0,L,140.5,U
2014,WMCAR,54,S.MISS,99,W,0.0,,0.0,
2014,HOUBPT,62,S.MISS,67,W,-21.0,L,137.0,U
2014,S.MISS,66,S.ALA,59,W,+5.0,W,142.5,U
2014,S.MISS,70,ND.ST,69,W,-6.0,W,135.5,O
2014,S.MISS,75,DPAUL,68,W,-1.5,W,159.0,U
2014,JACKS,51,S.MISS,67,W,0.0,,0.0,
2013,DENVR,50,S.MISS,61,W,-4.5,W,0.0,
2013,S.MISS,74,LIBRT,56,W,+15.5,W,0.0,
2017,S.MISS,46,HAWAI,60,L,-10.0,L,124.5,U
2017,SFA,67,S.MISS,64,L,+8.0,W,132.5,U
2017,SD.ST,66,S.MISS,51,L,+19.5,W,128.5,U
2017,MISST,86,S.MISS,44,L,+14.0,L,136.0,U
2017,TULAN,71,S.MISS,64,L,+2.5,L,138.0,U
2017,S.MISS,49,FLAST,98,L,-24.5,L,138.0,O
2017,S.MISS,64,JACKS,75,L,0.0,,0.0,
2016,SEOKST,52,S.MISS,66,W,0.0,,0.0,
