Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,SIUED,72,BELMT,83,W,-19.0,L,147.5,O
Jan 25 2018,E.ILL,59,BELMT,81,W,-13.0,W,135.0,O
Jan 20 2018,APEAY,59,BELMT,83,W,-10.0,W,141.5,O
Jan 18 2018,MURRAY,72,BELMT,79,W,-1.5,W,145.5,O
Jan 13 2018,BELMT,75,E.ILL,66,W,+8.0,W,135.5,O
Jan 11 2018,BELMT,76,SIUED,61,W,+11.5,W,148.5,U
Jan 6 2018,JAXST,64,BELMT,60,L,-6.5,L,141.0,U
Jan 4 2018,TNTEC,67,BELMT,80,W,-12.5,W,152.5,U
Nov 29 2017,BELMT,76,TCU,87,L,-12.5,W,149.5,O
Nov 27 2017,LIPSC,74,BELMT,66,L,0.0,,0.0,
Nov 22 2017,BELMT,65,PROV,66,L,-9.5,W,151.0,U
Nov 19 2017,SEATT,77,BELMT,90,W,-13.0,P,146.5,O
Nov 18 2017,HOUBPT,88,BELMT,93,W,-16.5,L,155.0,O
Nov 16 2017,BELMT,69,MIDTN,63,W,-7.0,W,147.0,U
Nov 13 2017,VANDY,60,BELMT,69,W,+3.5,W,149.0,U
Nov 10 2017,BELMT,82,WASH,86,L,+2.0,L,156.5,O
Dec 30 2017,BELMT,65,TNMAR,58,W,+9.0,L,143.5,U
Dec 28 2017,BELMT,94,SEMIZ,72,W,+8.0,W,151.5,O
Dec 19 2017,BELMT,75,W.KEN,72,W,-7.5,W,149.0,U
Dec 16 2017,PEPPR,62,BELMT,79,W,-17.0,P,152.0,U
Dec 13 2017,WISML,63,BELMT,82,W,-9.5,W,138.5,O
Dec 4 2017,BELMT,54,LIPSC,69,L,0.0,,0.0,
Dec 2 2017,WISGB,75,BELMT,86,W,-18.0,L,147.0,O
Feb 24 2018,TN.ST,59,BELMT,84,W,-11.5,W,135.5,O
Feb 22 2018,BELMT,67,JAXST,78,L,+3.0,L,139.5,O
Feb 17 2018,MORHD,65,BELMT,108,W,-16.5,W,145.0,O
Feb 15 2018,EKENT,73,BELMT,84,W,-16.0,L,147.5,O
Feb 10 2018,BELMT,75,TNTEC,70,W,+8.5,L,145.5,U
Feb 8 2018,BELMT,56,TN.ST,64,L,+9.0,L,136.5,U
Feb 3 2018,BELMT,83,MORHD,73,W,+12.0,L,142.0,O
Feb 1 2018,BELMT,98,EKENT,63,W,+12.0,W,146.0,O
Mar 3 2018,BELMT,51,MURRAY,68,L,+1.5,L,149.0,U
Mar 2 2018,BELMT,94,APEAY,79,W,+8.5,W,146.0,O
