Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,TROY,69,ULLAF,81,L,-10.5,L,152.0,U
Jan 25 2018,TROY,71,ULMON,76,L,+4.0,L,140.0,O
Jan 22 2018,APPST,79,TROY,81,W,-7.5,L,151.0,O
Jan 20 2018,COCAR,74,TROY,73,L,-5.5,L,147.5,U
Jan 13 2018,TROY,79,S.ALA,64,W,+1.5,W,143.0,P
Jan 6 2018,TROY,56,TEXST,57,L,-1.5,W,136.5,U
Jan 4 2018,TROY,76,TEXAR,86,L,-7.5,L,153.0,O
Nov 29 2017,ILCHI,66,TROY,87,W,-5.5,W,149.0,O
Nov 27 2017,DELST,64,TROY,95,W,0.0,,0.0,
Nov 22 2017,TROY,73,E.TEN,65,W,-3.0,W,146.0,U
Nov 20 2017,TROY,62,KENTY,70,L,-18.5,W,145.0,U
Nov 16 2017,BREWT,71,TROY,106,W,0.0,,0.0,
Nov 14 2017,TROY,67,HAWAI,72,L,+1.0,L,148.5,U
Nov 12 2017,ARKPB,57,TROY,81,W,-18.0,W,145.5,U
Nov 10 2017,TROY,80,NDAKOT,83,L,+7.5,L,154.0,O
Dec 31 2017,GAST,66,TROY,68,W,-1.5,W,143.5,U
Dec 29 2017,GASOU,86,TROY,80,L,+1.0,L,148.5,O
Dec 21 2017,MILGN,67,TROY,80,W,0.0,,0.0,
Dec 19 2017,TROY,73,APEAY,75,L,0.0,L,148.5,U
Dec 16 2017,TROY,63,ARK,88,L,-18.5,L,159.5,U
Dec 10 2017,TROY,71,S.MISS,89,L,+3.5,L,138.5,O
Dec 5 2017,UAB,90,TROY,78,L,0.0,L,145.0,O
Feb 24 2018,ULMON,67,TROY,73,W,-6.5,L,142.5,U
Feb 22 2018,ULLAF,81,TROY,76,L,+7.0,W,156.5,O
Feb 17 2018,TROY,54,APPST,65,L,0.0,L,151.5,U
Feb 15 2018,TROY,66,COCAR,65,W,-3.0,W,143.0,U
Feb 10 2018,ARKLR,64,TROY,82,W,-10.5,W,136.5,O
Feb 8 2018,ARKST,83,TROY,89,W,-9.0,L,154.5,O
Feb 3 2018,S.ALA,63,TROY,80,W,-7.0,W,145.5,U
Mar 9 2018,TROY,51,GAST,73,L,-4.0,L,144.0,U
Mar 7 2018,S.ALA,62,TROY,69,W,-5.5,W,144.5,U
Mar 3 2018,TROY,83,GASOU,89,L,-3.5,L,149.5,O
Mar 1 2018,TROY,83,GAST,70,W,-7.5,W,145.0,O
