Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,FAIRF,70,QUINN,75,W,+6.0,W,150.0,U
2018,QUINN,85,MARST,77,W,0.0,W,146.0,O
2018,SIENA,69,QUINN,76,W,-2.5,W,141.5,O
2018,NIAGR,81,QUINN,73,L,+4.0,L,161.0,U
2018,QUINN,60,RIDER,78,L,-11.5,L,158.0,U
2018,MARST,79,QUINN,80,W,-6.5,L,151.0,O
2018,QUINN,58,STPET,84,L,-6.5,L,135.0,O
2018,CANIS,82,QUINN,74,L,+3.5,L,145.5,O
2018,QUINN,71,SIENA,70,W,-3.5,W,146.5,U
2018,UMASS,66,QUINN,68,W,+9.0,W,139.0,U
2018,MAINE,78,QUINN,72,L,0.0,,0.0,
2018,QUINN,72,LIBRT,84,L,-10.5,L,138.0,O
2018,QUINN,55,WAKE,72,L,-15.5,L,155.0,U
2018,QUINN,69,COLO,70,L,-16.5,W,148.5,U
2018,BROWN,79,QUINN,72,L,+2.0,L,156.0,U
2018,DART,77,QUINN,78,W,-1.5,L,146.5,O
2018,MONMO,76,QUINN,78,W,+6.5,W,148.5,O
2018,QUINN,73,VERMT,80,L,0.0,,0.0,
2018,QUINN,71,DREXL,72,L,-9.0,W,145.0,U
2018,QUINN,75,HARTF,77,L,0.0,,0.0,
2018,QUINN,89,COLUM,87,W,-11.0,W,149.0,O
2018,QUINN,58,LAFAY,79,L,0.0,,0.0,
2018,QUINN,86,MANHT,92,L,-6.0,P,137.0,O
2018,STPET,52,QUINN,43,L,-1.5,L,132.0,U
2018,QUINN,98,FAIRF,102,L,-6.5,W,151.0,O
2018,MANHT,70,QUINN,71,W,+1.0,W,134.5,O
2018,QUINN,64,CANIS,71,L,-11.5,W,147.5,U
2018,QUINN,76,NIAGR,95,L,-7.0,L,161.0,O
2018,RIDER,74,QUINN,59,L,+5.0,L,154.5,U
2018,QUINN,82,IONA,87,L,-11.5,W,157.0,O
2018,QUINN,64,FAIRF,74,L,-3.5,L,143.5,U
2018,QUINN,72,CANIS,69,W,-9.0,W,145.5,U
2018,QUINN,67,SIENA,58,W,+3.0,W,135.5,U
