Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,SACRA,71,PORST,61,W,-11.5,W,159.0,U
Jan 20 2018,SACRA,65,ID.ST,71,L,-2.5,L,141.0,U
Jan 18 2018,SACRA,64,WEBER,80,L,-8.5,L,141.5,O
Jan 13 2018,MONST,68,SACRA,87,W,+2.0,W,143.0,O
Jan 11 2018,MONTA,78,SACRA,66,L,+10.0,L,142.5,O
Jan 6 2018,SACRA,67,EWASH,82,L,-10.5,L,140.5,O
Jan 4 2018,SACRA,68,IDAHO,69,L,-14.0,W,135.0,O
Nov 26 2017,STJOE,74,SACRA,69,L,+16.0,W,134.5,O
Nov 24 2017,SACRA,63,FULLR,68,L,-10.0,W,130.0,O
Nov 24 2017,SD.ST,89,SACRA,52,L,+19.5,L,141.0,P
Nov 21 2017,SACRA,47,UCDAV,64,L,-7.5,L,131.5,U
Nov 17 2017,SACRA,56,SF,69,L,-13.5,W,142.0,U
Nov 14 2017,NAMUR,53,SACRA,74,W,0.0,,0.0,
Nov 10 2017,SACRA,61,COLST,72,L,-17.0,W,143.0,U
Dec 30 2017,PORST,75,SACRA,80,W,+8.5,W,168.5,U
Dec 23 2017,SABAR,82,SACRA,72,L,+8.5,L,144.5,O
Dec 21 2017,PORTL,80,SACRA,75,L,+1.5,L,136.0,O
Dec 19 2017,CSNOR,61,SACRA,66,W,-5.0,P,135.5,U
Dec 9 2017,SACRA,54,BOISE,77,L,-21.0,L,135.5,U
Dec 6 2017,ALPVLY,74,SACRA,97,W,0.0,,0.0,
Dec 4 2017,SACRA,54,STMAR,70,L,-24.5,W,137.5,U
Feb 24 2018,SACRA,74,SUTAH,77,L,-4.0,W,146.5,O
Feb 22 2018,SACRA,53,NARIZ,58,L,+2.5,L,138.0,U
Feb 17 2018,WEBER,83,SACRA,73,L,+4.5,L,140.0,O
Feb 15 2018,ID.ST,67,SACRA,64,L,-2.5,L,141.0,U
Feb 10 2018,SACRA,69,MONTA,71,L,-16.5,W,137.5,O
Feb 8 2018,SACRA,76,MONST,92,L,-4.5,L,138.5,O
Feb 3 2018,IDAHO,81,SACRA,58,L,+5.0,L,136.0,O
Feb 1 2018,EWASH,74,SACRA,54,L,+1.0,L,137.0,U
Mar 6 2018,SACRA,67,PORST,71,L,-7.0,W,152.5,U
Mar 3 2018,NCOLO,77,SACRA,88,W,+7.5,W,146.0,O
Mar 1 2018,NDAKOT,90,SACRA,73,L,-2.0,L,146.5,O
