Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,SACRD,71,STFPA,72,W,0.0,,0.0,
2018,WAGNR,91,STFPA,61,L,-3.0,L,145.5,O
2018,STFPA,73,SACRD,60,W,0.0,,0.0,
2018,STFPA,64,WAGNR,73,L,0.0,,0.0,
2018,MTSTM,81,STFPA,80,L,0.0,,0.0,
2018,STFPA,89,ROBMO,80,W,0.0,,0.0,
2018,STFNY,87,STFPA,91,W,0.0,,0.0,
2018,LIU,68,STFPA,85,W,0.0,,0.0,
2018,AMERN,89,STFPA,100,W,0.0,,0.0,
2018,STFPA,72,LOUIS,84,L,0.0,,0.0,
2018,FRNU-S,54,STFPA,96,W,0.0,,0.0,
2018,STFPA,83,LONGW,56,W,0.0,,0.0,
2018,STFPA,63,SF,75,L,0.0,,0.0,
2018,STFPA,68,STMAR,85,L,0.0,,0.0,
2018,STFPA,86,BRYANT,82,W,0.0,,0.0,
2018,STFPA,68,CCONN,72,L,0.0,,0.0,
2018,LEHIH,70,STFPA,84,W,0.0,,0.0,
2018,BETHY,77,STFPA,113,W,0.0,,0.0,
2018,STFPA,93,NIAGR,87,W,0.0,,0.0,
2018,STFPA,67,DUKE,124,L,-27.0,L,167.0,O
2018,STFPA,83,STONY,85,L,0.0,,0.0,
2018,FDU,84,STFPA,75,L,-8.5,L,153.5,O
2018,ROBMO,60,STFPA,80,W,0.0,,0.0,
2018,STFPA,90,FDU,82,W,+2.0,W,151.0,O
2018,BRYANT,56,STFPA,89,W,0.0,,0.0,
2018,CCONN,71,STFPA,77,W,0.0,,0.0,
2018,STFPA,90,STFNY,65,W,0.0,,0.0,
2018,STFPA,67,LIU,83,L,0.0,,0.0,
2018,STFPA,56,MTSTM,59,L,0.0,,0.0,
2018,FDU,60,STFPA,74,W,-8.0,W,154.0,U
