Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,HOFST,64,DELA,59,L,+6.5,W,146.0,U
Jan 25 2018,COLCH,62,DELA,54,L,+5.5,L,135.0,U
Jan 20 2018,DELA,64,NEAST,76,L,-10.0,L,139.5,O
Jan 18 2018,DELA,63,HOFST,90,L,-8.5,L,147.0,O
Jan 13 2018,DELA,61,JMU,60,W,-3.5,W,141.5,U
Jan 11 2018,DREXL,66,DELA,72,W,-3.5,W,142.5,U
Jan 7 2018,NCWIL,76,DELA,96,W,-3.5,W,151.5,O
Jan 5 2018,W&M,90,DELA,65,L,-1.5,L,151.5,O
Jan 2 2018,DELA,78,COLCH,93,L,-9.5,L,128.5,O
Nov 27 2017,YALE,76,DELA,66,L,+1.5,L,144.0,U
Nov 22 2017,DELA,65,LONGW,57,W,0.0,,0.0,
Nov 21 2017,NCWES,70,DELA,88,W,0.0,,0.0,
Nov 20 2017,DELA,66,NCGRE,79,L,-8.5,L,137.5,O
Nov 17 2017,WESLMS,78,DELA,93,W,0.0,,0.0,
Nov 14 2017,DELA,53,BRAD,61,L,-8.0,P,141.0,U
Nov 10 2017,DELA,76,RICHM,63,W,-9.5,W,141.0,U
Dec 30 2017,DELA,58,NCWIL,56,W,-1.5,W,153.5,U
Dec 28 2017,CORNL,96,DELA,97,W,-6.5,L,143.5,O
Dec 20 2017,CSBAK,62,DELA,76,W,0.0,,0.0,
Dec 17 2017,DELA,68,DELST,59,W,0.0,,0.0,
Dec 9 2017,ND,92,DELA,68,L,+13.5,L,137.5,O
Dec 6 2017,BUFF,75,DELA,72,L,+3.5,W,148.5,U
Dec 1 2017,DELA,76,NAVY,82,L,0.0,,0.0,
Feb 24 2018,JMU,66,DELA,68,W,-3.0,L,138.5,U
Feb 22 2018,DELA,83,DREXL,85,L,-3.0,W,146.0,O
Feb 17 2018,ELON,57,DELA,72,W,-2.5,W,141.5,U
Feb 15 2018,DELA,65,TOWSN,67,L,-10.5,W,142.0,U
Feb 10 2018,DELA,66,W&M,83,L,-8.5,L,154.0,U
Feb 8 2018,NEAST,70,DELA,67,L,+7.5,W,135.5,O
Feb 3 2018,DELA,76,ELON,89,L,-9.5,L,138.5,O
Feb 1 2018,TOWSN,75,DELA,71,L,+9.0,W,132.5,O
Mar 4 2018,DELA,50,NEAST,74,L,-7.0,L,138.5,U
Mar 3 2018,ELON,79,DELA,86,W,+1.0,W,139.0,O
