Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,SF,73,GONZG,82,W,-18.5,L,142.5,O
Jan 25 2018,GONZG,95,PORTL,79,W,+22.0,L,144.5,O
Jan 20 2018,GONZG,75,SACLA,60,W,+19.5,L,142.5,U
Jan 18 2018,STMAR,74,GONZG,71,L,-7.5,L,149.5,U
Jan 13 2018,GONZG,75,SF,65,W,+14.0,L,142.5,U
Jan 11 2018,PORTL,57,GONZG,103,W,-30.0,W,149.0,O
Jan 6 2018,GONZG,85,LOYMA,66,W,+19.0,P,153.5,U
Jan 4 2018,GONZG,89,PEPPR,59,W,+23.0,W,151.0,U
Nov 29 2017,INCAR,68,GONZG,103,W,0.0,,0.0,
Nov 26 2017,TEXAS,71,GONZG,76,W,-2.5,W,143.5,O
Nov 24 2017,FLA,111,GONZG,105,L,+2.5,L,154.0,O
Nov 24 2017,OHIOS,59,GONZG,86,W,-5.0,W,150.5,U
Nov 18 2017,UT.ST,66,GONZG,79,W,-18.0,L,147.5,U
Nov 14 2017,HOWRD,69,GONZG,106,W,0.0,,0.0,
Nov 10 2017,TEXSO,69,GONZG,97,W,0.0,,0.0,
Dec 30 2017,SACLA,52,GONZG,101,W,-23.5,W,145.5,O
Dec 28 2017,PACIF,48,GONZG,81,W,-23.0,W,152.5,U
Dec 21 2017,GONZG,70,SD.ST,72,L,+6.0,L,151.0,U
Dec 18 2017,IUPUI,71,GONZG,101,W,-28.0,W,149.0,O
Dec 16 2017,NDAKOT,83,GONZG,89,W,-29.5,L,162.0,O
Dec 10 2017,GONZG,97,WASH,70,W,+10.0,W,156.5,O
Dec 5 2017,GONZG,72,VILLA,88,L,-5.0,L,149.0,O
Dec 1 2017,CREIG,74,GONZG,91,W,-9.0,W,162.0,O
Feb 24 2018,GONZG,79,BYU,65,W,+5.5,W,143.0,O
Feb 22 2018,GONZG,77,SD,72,W,+12.0,L,138.0,O
Feb 17 2018,PEPPR,67,GONZG,81,W,-24.5,L,151.5,U
Feb 15 2018,LOYMA,46,GONZG,76,W,-24.0,W,150.5,U
Feb 10 2018,GONZG,78,STMAR,65,W,-1.0,W,146.0,U
Feb 8 2018,GONZG,71,PACIF,61,W,+13.0,L,146.5,U
Feb 3 2018,BYU,60,GONZG,68,W,-12.0,L,145.0,U
Feb 1 2018,SD,59,GONZG,69,W,-19.5,L,142.5,U
Mar 6 2018,BYU,54,GONZG,74,W,-9.0,W,142.5,U
Mar 5 2018,SF,60,GONZG,88,W,-12.5,W,141.0,O
Mar 3 2018,LOYMA,69,GONZG,83,W,-19.0,L,149.5,O
