Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,SF,73,GONZG,82,L,-18.5,W,142.5,O
2018,PACIF,67,SF,69,W,-5.5,L,137.5,U
2018,PEPPR,73,SF,80,W,-10.0,L,139.5,O
2018,SACLA,65,SF,62,L,-10.0,L,131.0,U
2018,GONZG,75,SF,65,L,+14.0,W,142.5,U
2018,SF,65,LOYMA,67,L,+4.5,L,140.0,U
2018,SF,80,PEPPR,67,W,+6.0,W,139.5,O
2018,BYU,69,SF,59,L,+2.0,L,135.0,U
2018,SABAR,79,SF,72,L,-5.5,L,149.0,O
2018,SONON,55,SF,78,W,0.0,,0.0,
2018,SACRA,56,SF,69,W,-13.5,L,142.0,U
2018,STFPA,63,SF,75,W,0.0,,0.0,
2018,LONGB,83,SF,71,L,-15.0,L,146.5,O
2018,SF,84,PORTL,61,W,+5.0,W,135.5,O
2018,SF,63,SD,73,L,-3.0,L,130.0,O
2018,SF,66,NEV,64,W,-12.5,W,144.5,U
2018,SF,65,DUQU,67,L,+5.0,L,137.5,U
2018,RADFD,41,SF,52,W,0.0,,0.0,
2018,SF,59,STANF,71,L,-7.0,L,141.0,U
2018,UCDAV,61,SF,74,W,-3.5,W,131.0,O
2018,EWASH,71,SF,81,W,-5.5,W,142.5,O
2018,C.ARK,76,SF,78,W,0.0,,0.0,
2018,SF,57,ARZST,75,L,-16.5,L,158.5,U
2018,SD,64,SF,61,L,-3.5,L,131.0,U
2018,SF,84,PACIF,74,W,-2.0,W,135.0,O
2018,LOYMA,63,SF,72,W,-9.5,L,138.5,U
2018,STMAR,63,SF,70,W,+8.5,W,135.5,U
2018,SF,73,BYU,75,L,-9.5,W,135.0,O
2018,PORTL,63,SF,65,W,-10.5,L,133.5,U
2018,SF,70,SACLA,59,W,+3.5,W,129.5,U
2018,SF,43,STMAR,79,L,-13.0,L,138.0,U
2018,SF,60,GONZG,88,L,-12.5,L,141.0,O
2018,PACIF,70,SF,71,W,-3.0,L,136.0,O
