Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,MARST,62,MANHT,59,L,-8.0,L,140.0,U
2018,IONA,78,MANHT,65,L,+6.5,L,143.0,P
2018,MANHT,63,NIAGR,72,L,-4.0,L,152.0,U
2018,MANHT,68,STPET,57,W,-4.5,W,0.0,
2018,CANIS,68,MANHT,59,L,0.0,L,137.5,U
2018,SIENA,61,MANHT,72,W,-6.5,W,136.0,U
2018,MANHT,59,FAIRF,53,W,-6.0,W,141.5,U
2018,RIDER,82,MANHT,76,L,+5.5,L,151.0,O
2018,MANHT,66,MONMO,77,L,-5.5,L,137.5,O
2018,MANHT,101,MARST,96,W,+4.0,W,135.0,O
2018,MANHT,57,FORDM,70,L,-4.5,L,127.0,P
2018,MANHT,68,N.ILL,70,L,+1.5,L,142.5,U
2018,MANHT,65,MIZST,69,L,-8.0,W,141.5,U
2018,UMKC,74,MANHT,63,L,-7.0,L,142.0,U
2018,HARVD,69,MANHT,73,W,+3.5,W,143.5,U
2018,STFNY,79,MANHT,80,W,0.0,,0.0,
2018,FAIRF,58,MANHT,61,W,-2.5,W,140.0,U
2018,MANHT,62,SETON,74,L,-20.0,W,142.0,U
2018,MANHT,63,HOFST,61,W,-6.0,W,145.5,U
2018,MANHT,66,TULSA,80,L,-8.0,L,143.0,O
2018,MORGN,66,MANHT,80,W,0.0,,0.0,
2018,MANHT,55,TOWSN,56,L,-9.5,W,136.5,U
2018,MANHT,70,HOLYC,54,W,0.0,W,135.5,U
2018,QUINN,86,MANHT,92,W,-6.0,P,137.0,O
2018,MANHT,75,IONA,88,L,-6.5,L,145.0,O
2018,NIAGR,72,MANHT,82,W,-3.0,W,150.5,O
2018,MANHT,70,QUINN,71,L,+1.0,L,134.5,O
2018,MONMO,76,MANHT,93,W,0.0,W,138.5,O
2018,MANHT,73,RIDER,77,L,-9.0,W,143.5,O
2018,MANHT,51,SIENA,47,W,+2.5,W,127.5,U
2018,MANHT,60,IONA,72,L,-5.0,L,144.0,U
