Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 30 2017,OKST,68,OKLA,66,W,+1.5,W,162.5,U
Jan 28 2017,ARK,71,OKST,99,W,-7.5,W,167.5,O
Jan 23 2017,TCU,76,OKST,89,W,-4.5,W,155.0,O
Jan 21 2017,OKST,83,TEXTK,64,W,-6.5,W,155.0,U
Jan 18 2017,KANST,96,OKST,88,L,-3.0,L,154.0,O
Jan 14 2017,OKST,80,KANSA,87,L,-13.5,W,169.0,U
Jan 11 2017,IOWAS,96,OKST,86,L,-3.0,L,158.0,O
Jan 7 2017,OKST,57,BAYLR,61,L,-12.0,W,151.0,U
Jan 4 2017,OKST,79,TEXAS,82,L,+1.0,L,157.0,O
Jan 30 2016,OKST,74,AUBRN,63,W,+2.0,W,147.5,U
Jan 27 2016,BAYLR,69,OKST,65,L,+4.0,P,141.0,U
Jan 23 2016,OKST,73,KANST,89,L,-5.5,L,133.5,O
Jan 19 2016,KANSA,67,OKST,86,W,+9.0,W,142.0,O
Jan 16 2016,OKST,69,TEXAS,74,L,-8.0,W,133.5,O
Jan 13 2016,OKLA,74,OKST,72,L,+8.0,W,147.0,U
Jan 9 2016,OKST,60,W.VA,77,L,-14.5,L,143.5,U
Jan 5 2016,OKST,62,BAYLR,79,L,-9.0,L,135.0,O
Jan 2 2016,TCU,48,OKST,69,W,-6.0,W,131.0,U
Jan 31 2015,OKLA,64,OKST,56,L,-2.5,L,132.5,U
Jan 27 2015,BAYLR,53,OKST,64,W,-3.5,W,124.0,U
Jan 24 2015,OKST,53,KANST,63,L,-2.5,L,122.0,U
Nov 30 2016,ROGST,85,OKST,101,W,0.0,,0.0,
Nov 23 2016,GTOWN,70,OKST,97,W,-2.5,W,165.0,O
Nov 22 2016,OKST,75,UNC,107,L,-9.0,L,177.0,O
Nov 21 2016,OKST,98,UCONN,90,W,+3.5,W,151.5,O
Nov 16 2016,NEWOR,72,OKST,117,W,0.0,,0.0,
Nov 14 2016,C.ARK,90,OKST,102,W,0.0,,0.0,
Nov 11 2016,CAMBP,65,OKST,102,W,0.0,,0.0,
Nov 27 2015,LONGB,73,OKST,79,W,-8.0,L,144.5,O
Nov 22 2015,OKST,82,LONGB,77,W,+3.5,W,136.5,O
Nov 20 2015,GMASN,71,OKST,68,L,-9.5,L,133.5,O
Nov 19 2015,OKST,69,TOWSN,52,W,+8.5,W,145.0,U
Nov 16 2015,ARKPB,72,OKST,86,W,0.0,,0.0,
Nov 13 2015,TNMAR,57,OKST,91,W,-12.0,W,141.5,O
Nov 26 2014,TULSA,58,OKST,73,W,-3.0,W,129.5,O
Nov 24 2014,OKST,66,OREST,53,W,+11.0,W,0.0,
Nov 21 2014,WISML,68,OKST,82,W,-17.5,L,0.0,
Nov 18 2014,NWOKLST,45,OKST,91,W,0.0,,0.0,
Nov 16 2014,PVA&M,52,OKST,74,W,0.0,,0.0,
Nov 14 2014,SELA,55,OKST,83,W,0.0,,0.0,
Nov 29 2013,BUTLR,67,OKST,69,W,-12.5,L,155.0,U
Nov 28 2013,PURDU,87,OKST,97,W,-14.0,L,163.5,O
Nov 25 2013,OKST,93,S.FLA,67,W,+9.5,W,150.0,O
Nov 19 2013,MEMPH,80,OKST,101,W,-9.5,W,159.5,O
Dec 30 2016,W.VA,92,OKST,75,L,+3.0,L,167.5,U
Dec 22 2016,TEXCC,70,OKST,92,W,0.0,,165.5,U
Dec 17 2016,OKST,93,WICHI,76,W,-7.5,W,152.0,O
Dec 14 2016,ARKPB,66,OKST,102,W,-33.5,W,143.5,O
Dec 10 2016,OKST,71,TULSA,67,W,+9.0,L,158.0,U
Dec 3 2016,OKST,70,MARYL,71,L,+1.5,L,159.0,U
Dec 29 2015,UMKC,43,OKST,61,W,0.0,,0.0,
Dec 19 2015,OKST,70,FLA,72,L,-9.5,W,128.5,O
Dec 15 2015,LONGW,55,OKST,73,W,-16.0,W,140.5,U
Dec 12 2015,MINN,60,OKST,62,W,0.0,W,143.0,U
Dec 5 2015,MIZST,64,OKST,63,L,-13.0,L,137.0,U
Dec 2 2015,TULSA,66,OKST,56,L,-2.5,L,143.0,U
Dec 30 2014,OKST,74,MIZZU,72,W,+10.0,L,126.5,O
Dec 21 2014,MARYL,73,OKST,64,L,-9.5,L,137.5,U
Dec 16 2014,MIDTN,44,OKST,68,W,-16.0,W,121.5,U
Dec 13 2014,OKST,73,MEMPH,55,W,+2.0,W,132.0,U
Dec 6 2014,OKST,49,S.CAR,75,L,+1.5,L,138.5,U
Dec 3 2014,N.TEX,61,OKST,87,W,-20.5,W,0.0,
Dec 30 2013,ROBMO,66,OKST,92,W,-25.5,W,149.5,O
Dec 21 2013,OKST,78,COLO,73,W,+7.0,L,147.5,O
Dec 17 2013,DELST,43,OKST,75,W,0.0,,0.0,
Dec 14 2013,LATEC,55,OKST,70,W,-12.5,W,155.5,U
Dec 6 2013,S.CAR,52,OKST,79,W,-17.0,W,151.0,U
Dec 1 2013,MEMPH,73,OKST,68,L,-6.0,L,162.5,U
Feb 28 2017,OKST,83,IOWAS,86,L,-3.5,W,159.5,O
Feb 25 2017,TEXTK,63,OKST,80,W,-6.0,W,148.0,U
Feb 22 2017,OKST,80,KANST,68,W,-3.5,W,149.5,U
Feb 18 2017,OKLA,92,OKST,96,W,-11.5,L,152.5,O
Feb 15 2017,OKST,71,TCU,68,W,-2.0,W,153.0,U
Feb 11 2017,TEXAS,71,OKST,84,W,-11.0,W,150.5,O
Feb 8 2017,BAYLR,72,OKST,69,L,-1.5,L,145.5,U
Feb 4 2017,OKST,82,W.VA,75,W,-10.5,W,164.5,U
Feb 29 2016,OKST,50,IOWAS,58,L,-14.0,W,145.0,U
Feb 27 2016,W.VA,70,OKST,56,L,+7.5,L,134.5,U
Feb 24 2016,OKST,49,OKLA,71,L,-16.5,L,139.0,U
Feb 20 2016,TEXTK,71,OKST,61,L,-1.5,L,129.5,O
Feb 15 2016,OKST,67,KANSA,94,L,-14.5,L,136.0,O
Feb 13 2016,KANST,55,OKST,58,W,-1.5,W,131.0,U
Feb 8 2016,OKST,56,TCU,63,L,+1.5,L,128.0,U
Feb 6 2016,IOWAS,64,OKST,59,L,+4.5,L,147.5,U
Feb 3 2016,OKST,61,TEXTK,63,L,-7.0,W,138.5,U
Feb 28 2015,OKST,62,TEXTK,63,L,+5.5,L,119.0,O
Feb 21 2015,W.VA,73,OKST,63,L,-4.5,L,133.5,O
Feb 18 2015,IOWAS,70,OKST,65,L,-2.0,L,145.0,U
Feb 14 2015,OKST,55,TCU,70,L,+2.5,L,119.5,O
Feb 9 2015,OKST,74,BAYLR,65,W,-6.5,W,125.5,O
Mar 17 2017,OKST,91,MICH,92,L,-2.5,W,155.0,O
Mar 9 2017,OKST,83,IOWAS,92,L,+1.5,L,159.5,O
Mar 4 2017,KANSA,90,OKST,85,L,+1.5,L,162.0,O
Mar 9 2016,OKST,71,KANST,75,L,-4.5,W,126.5,O
Mar 4 2016,TEXAS,62,OKST,50,L,+5.5,L,128.5,U
Mar 20 2015,OKST,73,OREG,79,L,0.0,L,137.5,O
Mar 12 2015,OKST,49,OKLA,64,L,-5.0,L,134.0,U
Mar 7 2015,OKST,72,W.VA,81,L,-5.5,L,135.5,O
Mar 4 2015,TCU,70,OKST,82,W,-8.0,W,124.5,O
Mar 21 2014,OKST,77,GONZG,85,L,+3.5,L,138.5,O
Mar 13 2014,OKST,70,KANSA,77,L,-3.5,L,149.5,U
Mar 12 2014,TEXTK,62,OKST,80,W,-9.0,W,135.0,O
Mar 8 2014,OKST,81,IOWAS,85,L,-3.5,L,154.5,O
Mar 3 2014,KANST,61,OKST,77,W,-9.5,W,138.5,U
Mar 1 2014,KANSA,65,OKST,72,W,-1.0,W,149.0,U
Mar 21 2013,OREG,68,OKST,55,L,-2.0,L,135.0,U
Mar 15 2013,OKST,57,KANST,68,L,-1.5,L,132.0,U
Mar 14 2013,BAYLR,72,OKST,74,W,-2.5,L,137.5,O
Mar 9 2013,KANST,70,OKST,76,W,-4.5,W,132.0,O
Mar 6 2013,OKST,76,IOWAS,87,L,-3.5,L,149.0,O
Mar 2 2013,TEXAS,65,OKST,78,W,-13.0,P,132.0,O
Mar 8 2012,OKST,70,MIZZU,88,L,-11.5,L,143.5,O
Mar 7 2012,TEXTK,60,OKST,76,W,-8.0,W,123.0,O
Mar 3 2012,OKST,58,KANST,77,L,-12.0,L,133.5,O
Mar 21 2011,OKST,64,WASST,74,L,-7.0,L,141.5,U
Mar 15 2011,HARVD,54,OKST,71,W,-5.0,W,132.0,U
Mar 10 2011,OKST,62,KANSA,63,L,-14.5,W,143.5,U
Apr 3 2004,OKST,65,GATEC,67,L,+4.5,L,139.5,U
