Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2018,INDST,63,VALPO,69,L,-2.0,L,144.0,U
Jan 28 2018,BRAD,81,INDST,73,L,-4.5,L,135.5,O
Jan 24 2018,INDST,77,S.ILL,82,L,-2.0,L,140.0,O
Jan 20 2018,ILLST,54,INDST,84,W,-4.0,W,144.0,U
Jan 17 2018,INDST,71,EVANS,66,W,-3.5,W,131.5,O
Jan 14 2018,INDST,73,MIZST,76,L,-9.0,W,135.0,O
Jan 10 2018,NIOWA,67,INDST,69,W,-2.5,L,123.5,O
Jan 6 2018,DRAKE,75,INDST,72,L,-4.5,L,144.0,O
Jan 3 2018,INDST,61,LOYCH,57,W,-6.0,W,138.5,U
Nov 29 2017,AIRFO,64,INDST,74,W,-5.5,W,138.5,U
Nov 25 2017,BALL,93,INDST,85,L,-1.5,L,148.5,O
Nov 22 2017,MOSTL,58,INDST,75,W,0.0,,0.0,
Nov 19 2017,INDST,94,OHIO,96,L,-2.0,P,141.5,O
Nov 17 2017,INDST,44,OLDDO,62,L,-4.5,L,131.5,U
Nov 16 2017,AUBRN,83,INDST,64,L,+9.0,L,163.5,U
Nov 10 2017,INDST,90,INDY,69,W,-13.5,W,145.0,O
Dec 31 2017,INDST,81,ILLST,84,L,-3.5,W,143.5,O
Dec 28 2017,VALPO,64,INDST,73,W,+1.0,W,140.5,U
Dec 22 2017,ELON,73,INDST,68,L,-6.0,L,140.0,O
Dec 16 2017,INDST,65,W.KEN,81,L,-10.5,L,146.0,P
Dec 12 2017,WISGB,63,INDST,85,W,-11.5,W,146.0,O
Dec 9 2017,INDY,75,INDST,79,W,0.0,,0.0,
Dec 6 2017,INDST,76,N.TEX,79,L,+3.5,L,137.0,O
Feb 24 2018,INDST,66,BRAD,64,W,-5.0,W,139.0,U
Feb 21 2018,EVANS,53,INDST,58,W,-5.5,L,134.5,U
Feb 17 2018,S.ILL,76,INDST,72,L,-3.5,L,143.5,O
Feb 14 2018,INDST,76,DRAKE,90,L,-1.0,L,147.0,O
Feb 10 2018,LOYCH,75,INDST,71,L,+3.0,L,139.0,O
Feb 6 2018,MIZST,81,INDST,62,L,-3.0,L,138.5,O
Feb 3 2018,INDST,77,NIOWA,66,W,-4.0,W,127.0,O
Mar 2 2018,INDST,70,ILLST,77,L,-1.0,L,144.0,O
