Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,KENNE,71,NJIT,74,L,0.0,,0.0,
2018,KENNE,81,USCUP,80,W,0.0,,0.0,
2018,NJIT,66,KENNE,60,L,0.0,,0.0,
2018,FLAGC,66,KENNE,49,L,0.0,,0.0,
2018,STETS,81,KENNE,95,W,0.0,,0.0,
2018,KENNE,78,N.FLA,85,L,0.0,,0.0,
2018,KENNE,58,JAXVL,65,L,0.0,,0.0,
2018,LIPSC,86,KENNE,71,L,0.0,,0.0,
2018,CARVER,75,KENNE,98,W,0.0,,0.0,
2018,KENNE,54,SEATT,66,L,0.0,,0.0,
2018,KENNE,71,WASH,85,L,-15.5,W,158.0,U
2018,TN.ST,77,KENNE,74,L,0.0,,0.0,
2018,KENNE,79,FLAST,98,L,0.0,,0.0,
2018,KENNE,68,TNTEC,82,L,0.0,,0.0,
2018,PIEDMT,54,KENNE,77,W,0.0,,0.0,
2018,KENNE,57,HOFST,75,L,0.0,,0.0,
2018,KENNE,64,BUTLR,82,L,0.0,,0.0,
2018,YALE,89,KENNE,74,L,0.0,,0.0,
2018,KENNE,56,MERCR,89,L,0.0,,0.0,
2018,SAMFD,66,KENNE,71,W,0.0,,0.0,
2018,GASOU,78,KENNE,69,L,0.0,,0.0,
2018,BCOOK,74,KENNE,81,W,0.0,,0.0,
2018,KENNE,53,TEXTK,82,L,0.0,,0.0,
2018,KENNE,68,JAXVL,87,L,-3.0,L,147.5,O
2018,KENNE,74,LIPSC,83,L,0.0,,0.0,
2018,KENNE,74,STETS,86,L,0.0,,0.0,
2018,KENNE,97,FLAGC,93,W,0.0,,0.0,
2018,JAXVL,54,KENNE,78,W,0.0,,0.0,
2018,N.FLA,81,KENNE,89,W,0.0,,0.0,
2018,USCUP,69,KENNE,93,W,0.0,,0.0,
